"id","userId","posterId","quantity","createdAt"
1,1,1523,3,"2024-03-11 09:30:00"
2,1,1860,1,"2024-03-14 10:05:00"
3,1,3927,4,"2024-03-10 12:00:00"
4,1,1716,2,"2024-03-11 09:30:00"
5,1,3830,2,"2024-03-14 10:05:00"
6,2,2197,4,"2024-03-14 10:05:00"
7,2,1468,2,"2024-03-13 16:45:00"
8,2,2330,2,"2024-03-11 09:30:00"
9,2,1737,1,"2024-03-13 16:45:00"
10,1,2565,3,"2024-03-14 10:05:00"
11,2,1584,4,"2024-03-14 10:05:00"
12,1,2613,1,"2024-03-14 10:05:00"
13,2,5325,5,"2024-03-12 14:15:00"
14,1,1660,1,"2024-03-11 09:30:00"
15,2,1684,2,"2024-03-10 12:00:00"
16,2,2330,4,"2024-03-12 14:15:00"
17,1,2595,3,"2024-03-11 09:30:00"
18,2,5389,1,"2024-03-14 10:05:00"
19,1,3045,2,"2024-03-11 09:30:00"
20,2,2615,3,"2024-03-14 10:05:00"
